net,length_um
net6,42.89
net5,41.9
net10,35.82
_00_,35.32
net7,33.92
_01_,31.89
net9,28.5
_04_,23.42
_23_,20.22
net3,19.68
_14_,15.92
net1,15.2
_08_,14.8
_05_,14.4
B[3],13.76
_21_,11.88
_15_,11.7
_24_,10.67
net11,10.44
_09_,10.42
net4,10.16
net2,9.98
A[3],9.64
Y[2],9.06
net13,8.62
Y[3],8.5
_16_,8.44
_17_,8
_07_,7.96
_06_,7.86
net12,7.78
net8,7.18
_12_,7.12
B[0],6.55
SEL[1],6.43
A[2],6.31
_26_,6.26
Y[1],6.21
net14,6.14
_11_,6.06
B[1],5.75
_28_,5.74
A[0],5.41
Y[0],5.19
SEL[0],5.07
_19_,4.8
_25_,4.8
A[1],4.73
B[2],4.61
_29_,4.46
_13_,3.54
_03_,3.08
_10_,3.08
_18_,2.98
_27_,2.18
_02_,1.7
_20_,1.7
_22_,0.8
